input_string,content
"Prompt: Video giới thiệu về khóa học 21 tuần luyện content chuyển đổi cao trên mạng xã hội của Đặng Xuân Linh. Title: 21 Tuần Luyện Content Chuyển Đổi Cao: Chia Sẻ Của Chuyên Gia Description:Kịch bản là cuộc trò chuyện giữa Đặng Xuân Linh và Đặng Xuân Lộc. Linh là người dẫn dắt cuộc trò chuyện, giới thiệu về khóa học 21 tuần luyện content chuyển đổi cao của mình. Lộc là học viên của khóa học, chia sẻ những trải nghiệm và lý do anh ấy tham gia khóa học. 

Lộc đã đăng ký học khóa học dù anh ấy là một chuyên gia về content và đã có kinh nghiệm trong lĩnh vực này. Lộc khẳng định rằng khóa học rất đặc biệt và chia sẻ những ấn tượng về Linh như: 

*  Linh là một người thầy có kinh nghiệm, có kiến thức chuyên môn, sẵn sàng chia sẻ và hỗ trợ học viên.
*  Khóa học có nội dung chi tiết, thực tế và giúp học viên nâng cao kỹ năng content.
*  Linh có thái độ chuyên nghiệp, kỷ luật và chăm sóc học viên rất tốt.

Lộc cũng chia sẻ một câu chuyện về một học viên khác của khóa học, người đã đạt được kết quả khả quan sau khi áp dụng kiến thức học được từ khóa học. 

Cuối cùng, Lộc khuyên những người đang phân vân về khóa học nên mạnh dạn đăng ký vì khóa học mang lại nhiều giá trị.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A giới thiệu về chương trình và mục tiêu của chương trình.\n A giới thiệu B một chuyên gia trong lĩnh vực liên quan đến chương trình.\n\nNội dung:\n\n A hỏi B về lý do B tham gia chương trình.\n B chia sẻ kinh nghiệm ấn tượng về chương trình và A.\n B chia sẻ một ví dụ về thành công của một học viên khác.\n\nKết thúc:\n\n A cảm ơn B vì đã chia sẻ kinh nghiệm.\n A đặt câu hỏi cho B về lời khuyên dành cho những người muốn tham gia chương trình.\n B chia sẻ lời khuyên và nhấn mạnh tầm quan trọng của việc kết nối với A.\n A chúc B may mắn và kết thúc chương trình.\n\nKết luận:\n\n Khóa học mang lại những giá trị thiết thực cho người tham gia.\n A là một chuyên gia uy tín và có tâm huyết với việc đào tạo.\n Khóa học khuyến khích học viên kết nối với A để được hỗ trợ và đồng hành.
"Prompt: Video chia sẻ về câu chuyện cá nhân của một người từng là học sinh yếu kém nhưng sau đó đã thành công. Title: Niềm Tin Vào Thành Công: Câu Chuyện Của Một Học Sinh Yếu Kém Description:Video chia sẻ về câu chuyện cá nhân của người nói, từ một học sinh yếu kém trở thành người thành công và niềm tin của anh ấy về việc ai cũng có thể thành công.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A chia sẻ niềm tin về khả năng thành công của mọi người.\n A giới thiệu về câu chuyện cá nhân của mình để minh họa cho niềm tin đó.\n\nNội dung:\n\n A kể lại quãng thời gian học sinh đầy khó khăn của mình: \n     Học yếu không bao giờ được học sinh giỏi.\n     Không có động lực học thậm chí trốn học.\n A kể về bước ngoặt khi chuyển về vùng quê và sự thay đổi trong suy nghĩ của mình.\n A chia sẻ về quá trình học tập nỗ lực và thành tích đạt được sau đó.\n A phân tích 3 yếu tố quan trọng dẫn đến sự thành công của bản thân: \n     Môi trường niềm tin của người xung quanh.\n     Niềm tin vào bản thân.\n     Lý do mục tiêu rõ ràng.\n\nKết thúc:\n\n A chia sẻ kinh nghiệm của mình khi hỗ trợ nhân viên và học viên của mình đạt được thành công.\n A khẳng định niềm tin vào việc ai cũng có thể thành công nếu hiểu rõ 3 yếu tố trên.\n A giới thiệu và tặng ebook miễn phí về xây dựng thương hiệu cá nhân bằng video ngắn.\n\nKết luận:\n\n Niềm tin vào bản thân môi trường ủng hộ và mục tiêu rõ ràng là chìa khóa dẫn đến thành công.\n Video khuyến khích mọi người tin vào bản thân và nỗ lực theo đuổi mục tiêu.
Prompt: Video chia sẻ về câu chuyện giúp một người chuyên viên bảo hiểm tại Mỹ xây dựng thương hiệu cá nhân trên mạng xã hội và thu hút khách hàng. Title: Từ Chuyên Gia Bán Hàng Thành Chuyên Gia Được Yêu Thích: Bí Kíp Xây Dựng Thương Hiệu Cá Nhân Description:Video chia sẻ về câu chuyện giúp một chuyên viên bảo hiểm tại Mỹ xây dựng thương hiệu cá nhân trên mạng xã hội và thu hút khách hàng bằng cách trở thành chuyên gia được yêu thích.,Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A giới thiệu về vấn đề chung: mọi người đều ghét bị bán hàng nhưng vẫn mua hàng.\n A kể về câu chuyện của B (chuyên viên bảo hiểm tại Mỹ) gặp khó khăn trong việc tiếp cận khách hàng.\n\nNội dung:\n\n A phân tích lý do khách hàng ghét bị bán hàng họ chỉ muốn được tư vấn và hỗ trợ từ chuyên gia.\n A chia sẻ cách anh ấy giúp B thay đổi: \n      Hướng dẫn B cách kể chuyện thu hút khách hàng.\n      Nâng cao chuyên môn thể hiện bản thân là chuyên gia.\n A giới thiệu về kết quả của B sau khi áp dụng những lời khuyên của A.\n\nKết thúc:\n\n A khẳng định tầm quan trọng của việc xây dựng thương hiệu cá nhân trở thành chuyên gia được yêu thích để thu hút khách hàng.\n A giới thiệu ebook miễn phí về chiến lược xây dựng thương hiệu cá nhân trên mạng xã hội.\n\nKết luận:\n\n Video khuyến khích mọi người học hỏi cách xây dựng thương hiệu cá nhân để thu hút khách hàng một cách tự nhiên và hiệu quả hơn.
"Prompt: Video chia sẻ về câu chuyện cá nhân của người nói, từ một học sinh yếu kém trở thành người thành công và niềm tin của anh ấy về việc ai cũng có thể thành công. Title: Niềm Tin Vào Thành Công: Từ Học Sinh Yếu Kém Đến Chuyên Gia Hàng Đầu Description:Video chia sẻ về hành trình từ học sinh yếu kém đến người thành công và 3 yếu tố dẫn đến thành công: niềm tin của người xung quanh, niềm tin vào bản thân và lý do rõ ràng.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A chia sẻ niềm tin về khả năng thành công của mọi người.\n A giới thiệu về câu chuyện cá nhân của mình để minh họa cho niềm tin đó.\n\nNội dung:\n\n A kể lại quãng thời gian học sinh đầy khó khăn của mình: \n     Học yếu không bao giờ được học sinh giỏi.\n     Không có động lực học thậm chí trốn học.\n A kể về bước ngoặt khi chuyển về vùng quê và sự thay đổi trong suy nghĩ của mình.\n A chia sẻ về quá trình học tập nỗ lực và thành tích đạt được sau đó.\n A phân tích 3 yếu tố quan trọng dẫn đến sự thành công của bản thân: \n     Môi trường niềm tin của người xung quanh.\n     Niềm tin vào bản thân.\n     Lý do mục tiêu rõ ràng.\n\nKết thúc:\n\n A chia sẻ kinh nghiệm của mình khi hỗ trợ nhân viên và học viên của mình đạt được thành công.\n A khẳng định niềm tin vào việc ai cũng có thể thành công nếu hiểu rõ 3 yếu tố trên.\n A giới thiệu ebook miễn phí về xây dựng thương hiệu cá nhân bằng video ngắn.\n\nKết luận:\n\n Niềm tin vào bản thân môi trường ủng hộ và mục tiêu rõ ràng là chìa khóa dẫn đến thành công.\n Video khuyến khích mọi người tin vào bản thân và nỗ lực theo đuổi mục tiêu.
"Prompt: Video chia sẻ về câu chuyện cá nhân của người nói, từ kinh doanh thất bại đến thành công bằng cách thay đổi đối tượng khách hàng và xây dựng thương hiệu cá nhân. Title: Từ Thất Bại Đến Thành Công: Bí Kíp Thay Đổi Nhóm Khách Hàng Và Xây Dựng Thương Hiệu Cá Nhân Description:Video chia sẻ về câu chuyện cá nhân của người nói, từ kinh doanh thất bại đến thành công bằng cách thay đổi đối tượng khách hàng và xây dựng thương hiệu cá nhân.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A chia sẻ về một biến cố trong quá khứ đã thay đổi cuộc đời và sự nghiệp của anh ấy.\n A giới thiệu về một dự án kinh doanh giáo dục trước đây và thất bại mà anh ấy gặp phải.\n\nNội dung:\n\n A kể lại những khó khăn và sự phản đối anh ấy gặp phải khi kinh doanh giáo dục.\n A chia sẻ về thời gian làm việc tại Singapore và phát hiện ra điểm yếu trong chiến lược kinh doanh trước đây: phục vụ sai đối tượng khách hàng.\n A chia sẻ về bước ngoặt khi anh ấy quyết định tập trung vào nhóm khách hàng giàu có và thành công đạt được.\n\nKết thúc:\n\n A khẳng định tầm quan trọng của việc lựa chọn đối tượng khách hàng phù hợp và xây dựng thương hiệu cá nhân để thành công.\n A giới thiệu ebook miễn phí về cách xây dựng thương hiệu cá nhân trên mạng xã hội.\n\nKết luận:\n\n Video khuyến khích mọi người học hỏi kinh nghiệm của A về việc chọn thị trường đối tượng khách hàng và xây dựng thương hiệu cá nhân để thành công.
"Prompt: Video chia sẻ về tầm quan trọng của việc lên kế hoạch, chiến lược trong việc xây dựng thương hiệu cá nhân trên mạng xã hội thay vì trông chờ vào may mắn. Title: Thành Công Không Phải Do May Mắn: Bí Quyết Xây Dựng Thương Hiệu Cá Nhân Description:Video chia sẻ về tầm quan trọng của việc lên kế hoạch, chiến lược trong việc xây dựng thương hiệu cá nhân trên mạng xã hội thay vì trông chờ vào may mắn. Người nói minh họa bằng việc chia sẻ kinh nghiệm giúp một bác sĩ xây dựng kênh Youtube thành công. 

Họ đã dành nhiều thời gian để tìm hiểu, phân tích và lên kế hoạch, viết kịch bản chi tiết cho video trước khi đăng tải và đạt được 8 triệu lượt xem.  Người nói khẳng định rằng sự thành công đến từ nỗ lực và kế hoạch cụ thể, chứ không phải là may mắn.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A đặt câu hỏi về vai trò của may mắn trong việc xây dựng thương hiệu cá nhân trên mạng xã hội.\n A khẳng định rằng may mắn không phải là yếu tố quyết định và chia sẻ câu chuyện về B để minh họa.\n\nNội dung:\n\n A kể lại quá trình giúp B (một bác sĩ) xây dựng kênh Youtube từ việc tìm hiểu về B đến việc lên kế hoạch truyền thông chi tiết.\n A nhấn mạnh việc đầu tư thời gian công sức để nghiên cứu lên kế hoạch viết kịch bản lựa chọn nội dung chất lượng.\n A khẳng định thành công của B đến từ sự nỗ lực và kế hoạch chứ không phải do may mắn.\n\nKết thúc:\n\n A khẳng định may mắn chỉ đến với những người có kế hoạch chiến lược rõ ràng và nỗ lực hết mình.\n A khuyến khích người xem tập trung vào việc xây dựng kế hoạch chiến lược và nỗ lực thay vì trông chờ vào may mắn.\n\nKết luận:\n\n Video truyền tải thông điệp rằng sự thành công trong xây dựng thương hiệu cá nhân trên mạng xã hội đến từ sự nỗ lực kế hoạch và chiến lược chứ không phải là may mắn.
"Prompt: Video chia sẻ về động lực xây dựng thương hiệu cá nhân trên mạng xã hội, nhấn mạnh vào vai trò của tiền và việc học hỏi từ những người thành công. Title: Bí Mật Động Lực Xây Dựng Thương Hiệu Cá Nhân: Tiền Và Học Hỏi Từ Người Thành Công Description:Video chia sẻ về động lực xây dựng thương hiệu cá nhân trên mạng xã hội, nhấn mạnh vào vai trò của tiền và việc học hỏi từ những người thành công. 

Người nói đưa ra ví dụ về một người bạn của mình, Nguyễn Hình Như, đã đạt được doanh thu khủng nhờ xây dựng thương hiệu cá nhân trên mạng xã hội và động lực của Như đến từ việc kiếm được nhiều tiền. 

Ngoài ra, người nói cũng khuyên nên học hỏi từ những người thành công trên mạng xã hội, lấy họ làm động lực để nỗ lực và đạt được thành công.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A đặt câu hỏi về việc duy trì động lực trong việc xây dựng thương hiệu cá nhân trên mạng xã hội.\n A khẳng định rằng động lực đến từ tiền và chia sẻ câu chuyện về B để minh họa.\n\nNội dung:\n\n A kể lại quá trình B (một người bạn của A) đã đạt được doanh thu khủng nhờ xây dựng kênh mạng xã hội và động lực của B đến từ việc kiếm được nhiều tiền.\n A nhấn mạnh động lực đến từ việc nhìn thấy kết quả số tiền kiếm được và sự nỗ lực của B khi sản xuất nhiều video mỗi ngày.\n\nKết thúc:\n\n A khẳng định cách để duy trì động lực là nhìn vào những người thành công học hỏi và nỗ lực theo đuổi mục tiêu.\n A khuyến khích người xem lấy những người thành công làm động lực để vươn lên. \n\nKết luận:\n\n Video truyền tải thông điệp rằng động lực xây dựng thương hiệu cá nhân trên mạng xã hội đến từ kết quả lợi ích và việc học hỏi từ những người thành công.
"Prompt: Video chia sẻ về động lực xây dựng thương hiệu cá nhân trên mạng xã hội, nhấn mạnh vào vai trò của tiền và việc học hỏi từ những người thành công. Title: Bí mật để luôn có động lực xây dựng thương hiệu cá nhân trên mạng xã hội Description:Lười Biếng, Thiếu Ý Tưởng, Chán Nản? Bí Mật Để Luôn Có Động Lực Xây Dựng Thương Hiệu Cá Nhân",Xây Dựng Kênh Cá Nhân: Kế Hoạch Chi Tiết Hay Bắt Tay Ngay?
"Prompt: Video chia sẻ về trải nghiệm học tập của một học viên tham gia khóa học kiến tạo kịch bản triệu view của Lê Chí Linh. Title: Kiến Tạo Kịch Bản Triệu View: Câu Chuyện Thay Đổi Cuộc Đời Description:Video là lời chia sẻ của một học viên sau khi tham gia khóa học “Kiến tạo kịch bản triệu view” của Lê Chí Linh. 

Học viên chia sẻ những thay đổi tích cực sau khi học khóa học, như tự tin hơn, có định hướng kinh doanh rõ ràng, lượng khách hàng tăng lên,... và khẳng định khóa học rất hữu ích. 

Học viên cũng khuyến khích những người đang muốn kinh doanh hoặc xây dựng thương hiệu cá nhân online tham gia khóa học.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A giới thiệu về bản thân và chia sẻ những thay đổi tích cực sau khi tham gia khóa học.\n A thể hiện sự biết ơn và đánh giá cao Lê Chí Linh (B) là người thầy của mình.\n\nNội dung:\n\n A chia sẻ những ấn tượng về B: nhiệt huyết truyền đạt kiến thức dễ hiểu và hiệu quả.\n A kể về những lợi ích cụ thể mà A nhận được từ khóa học: \n     Tự tin hơn trong kinh doanh.\n     Có định hướng rõ ràng.\n     Tăng lượng khách hàng.\n     Khắc phục khó khăn trong kinh doanh.\n A khẳng định khóa học rất giá trị và khuyến khích mọi người tham gia.\n\nKết thúc:\n\n A bày tỏ niềm vui và sự tin tưởng vào khả năng thành công trong tương lai.\n A kêu gọi mọi người tham gia khóa học để cùng đạt được thành công. \n A chia sẻ thông tin về cộng đồng những người tham gia khóa học. \n\nKết luận:\n\n Video truyền tải thông điệp về sự hiệu quả của khóa học “Kiến tạo kịch bản triệu view” và khuyến khích mọi người tham gia khóa học để đạt được thành công trong kinh doanh và cuộc sống.
"Prompt: Video chia sẻ trải nghiệm của Dan Lê, một chuyên viên bảo hiểm tại Mỹ, khi tham gia lớp học 5 ngày thách thức làm video triệu view và triệu follower của Lê Chí Linh. Title: 5 Ngày Thách Thức Cùng Lê Chí Linh: Bí Kíp Thu Hút Khách Hàng Từ Social Media Description:Video là lời chia sẻ của Dan Lê, một chuyên viên bảo hiểm tại Mỹ, về trải nghiệm của anh khi tham gia lớp học 5 ngày thách thức làm video triệu view và triệu follower của Lê Chí Linh. 

Dan Lê ban đầu không kỳ vọng nhiều vào khóa học nhưng sau đó lại cảm thấy rất hài lòng với những kiến thức và giá trị anh nhận được. Anh nhận ra tầm quan trọng của mạng xã hội và học được những bí quyết để tạo ra video thu hút, lan tỏa dịch vụ và sản phẩm của mình.  

Sau khi tham gia khóa học, Dan Lê đã có nhiều khách hàng tiềm năng tìm đến anh và anh rất hài lòng với kết quả đạt được. Anh khuyến khích những người kinh doanh muốn tiếp cận nhiều khách hàng tham gia khóa học của Lê Chí Linh.",Khung Kịch Bản Mẫu\n\nMở đầu:\n\n A giới thiệu bản thân và kinh nghiệm kinh doanh của mình.\n A chia sẻ về việc tình cờ biết đến chương trình của B (Lê Chí Linh) và quyết định tham gia.\n\nNội dung:\n\n A chia sẻ về sự nghi ngờ ban đầu của mình về hiệu quả của khóa học.\n A chia sẻ về ấn tượng và sự hài lòng với kiến thức và giá trị nhận được từ khóa học.\n A nêu bật một vấn đề khó khăn trong kinh doanh: tiếp cận thêm nhiều khách hàng.\n A chia sẻ về những thay đổi tích cực sau khi tham gia khóa học đặc biệt là về việc sử dụng mạng xã hội để thu hút khách hàng.\n A chia sẻ thành công đạt được sau khi áp dụng kiến thức từ khóa học.\n\nKết thúc:\n\n A bày tỏ lòng biết ơn đối với B.\n A khuyến khích những người kinh doanh muốn tiếp cận thêm khách hàng tham gia khóa học của B.\n A thể hiện mong muốn gặp gỡ nhiều người trong lớp của B. \n\nKết luận:\n\n Video truyền tải thông điệp về sự hiệu quả của khóa học “5 ngày thách thức làm video triệu view và triệu follower” của Lê Chí Linh và khuyến khích mọi người tham gia để đạt được thành công trong kinh doanh.
