prompt,title,description,content,input_string
hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của một chuyên gia sau khi tham gia khóa học của tài,chuyên gia - từ viral sang bán hàng hiệu quả,kịch bản video chia sẻ trải nghiệm của một chuyên gia về cách bán hàng hiệu quả sau khi tham gia khóa học của tài,mở đầu\n- giới thiệu bản thân lĩnh vực kinh doanh và vấn đề gặp phải trước khi tham gia khóa học\n- nêu rõ những bài toán cụ thể trong kinh doanh\nnội dung\n- chia sẻ kết quả đạt được sau khi tham gia khóa học\n- phân tích những giá trị cụ thể từ khóa học của tài:\n    - cách sắp xếp mức giá hợp lý\n    - kịch bản chốt sale hiệu quả\n    - cách quay video tạo nhu cầu\n    - hỗ trợ cá nhân hóa và giải quyết vấn đề\nkết thúc\n- nhấn mạnh giá trị của khóa học và sự tâm huyết của tài\n- kêu gọi hành động: khuyến khích mọi người tham gia khóa học\nkết luận\n- khẳng định giá trị của khóa học đối với bản thân và  khuyến khích mọi người thử  một lần,Prompt: hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của một chuyên gia sau khi tham gia khóa học của tài Title: chuyên gia - từ viral sang bán hàng hiệu quả Description:kịch bản video chia sẻ trải nghiệm của một chuyên gia về cách bán hàng hiệu quả sau khi tham gia khóa học của tài
hãy tạo một kịch bản cho video giải thích cách giải quyết vấn đề khách hàng hỏi giá rồi biến mất,bán hàng giá trị cao: khách hỏi giá rồi biến mất? giải pháp hiệu quả!,kịch bản video chia sẻ giải pháp cho vấn đề khách hàng hỏi giá rồi biến mất khi bán hàng giá trị cao,mở đầu\n- giới thiệu vấn đề: khách hàng hỏi giá rồi biến mất là vấn đề phổ biến khi bán hàng giá trị cao.\n- nêu rõ nguyên nhân: do sự an toàn của việc hỏi giá áp lực mua hàng thấp khách hàng cần thêm thông tin.\nnội dung\n- giải pháp tổng thể: thay đổi quy trình bán hàng từ nhắn tin sang gọi điện gặp mặt zoom.\n- bước 1: thay đổi cách thức marketing:\n    - sử dụng video bán hàng tạo ra nhu cầu chia sẻ giá trị trước khi đề cập đến dịch vụ.\n    - kêu gọi hành động: để lại thông tin để được tư vấn không phải báo giá.\n- bước 2: bán cuộc gọi tư vấn:\n    - bán giá trị chuyên môn giải pháp thay vì sản phẩm dịch vụ trong quảng cáo.\n    - kêu gọi đặt lịch tư vấn tìm hiểu chương trình không phải báo giá.\n- bước 3: bán sản phẩm dịch vụ trong cuộc gọi tư vấn:\n    - nắm rõ thông tin khách hàng tư vấn lộ trình phù hợp.\n    - chia sẻ giá trị giải đáp thắc mắc trong cuộc gọi không để khách biến mất.\nkết thúc\n- nhấn mạnh giá trị của việc tư vấn giải quyết vấn đề của khách hàng.\n- kêu gọi hành động: tham gia chương trình cố vấn 1-1 để giải quyết vấn đề của bản thân.\nkết luận\n- khẳng định hiệu quả của việc thay đổi quy trình bán hàng giúp tăng tỷ lệ chốt đơn.,Prompt: hãy tạo một kịch bản cho video giải thích cách giải quyết vấn đề khách hàng hỏi giá rồi biến mất Title: bán hàng giá trị cao: khách hỏi giá rồi biến mất? giải pháp hiệu quả! Description:kịch bản video chia sẻ giải pháp cho vấn đề khách hàng hỏi giá rồi biến mất khi bán hàng giá trị cao
hãy tạo một kịch bản cho video chia sẻ về bí quyết đạt doanh số 16 triệu đô trong 4 năm của linh,bí quyết 16 triệu đô: từ bán hàng truyền thống đến content chuyển đổi,kịch bản video chia sẻ bí quyết đạt doanh số 16 triệu đô trong 4 năm của linh từ bán hàng truyền thống đến content chuyển đổi,mở đầu\n- giới thiệu thành tích: linh đạt 16 triệu đô trong vòng 1 năm và duy trì trong 4 năm.\n- nêu rõ bối cảnh: bắt đầu với nguồn lực hạn chế sản phẩm phân khúc cao cấp.\nnội dung\n- kinh nghiệm ban đầu: sử dụng hình ảnh bài viết gọi điện tư vấn gặp nhiều khó khăn.\n- chuyển đổi sang content chuyển đổi: quay video bán hàng chia sản phẩm thành nhóm báo giá xử lý từ chối trong video.\n- ưu điểm: tăng tốc độ bán hàng tiết kiệm thời gian hiệu quả cao hơn.\n- bí quyết thành công: tập trung vào nội dung không cần thiết bị xịn chân thật chân thành chia sẻ giá trị.\n- chia sẻ chiến lược: micro-ngách nội dung chi tiết video ngắn nhiều kênh công cụ hỗ trợ.\n- cộng đồng và hỗ trợ: chương trình 21 tuần luyện content chuyển đổi hỗ trợ kỹ thuật kiến thức cộng đồng.\nkết thúc\n- nhấn mạnh giá trị của content chuyển đổi cần nội dung chất lượng kỹ năng chiến lược phù hợp.\n- kêu gọi hành động: tham gia chương trình 21 tuần luyện content chuyển đổi học thử 1 tuần cam kết hành động.\nkết luận\n- khẳng định hiệu quả của content chuyển đổi hỗ trợ doanh nghiệp đạt doanh số phát triển bền vững.,Prompt: hãy tạo một kịch bản cho video chia sẻ về bí quyết đạt doanh số 16 triệu đô trong 4 năm của linh Title: bí quyết 16 triệu đô: từ bán hàng truyền thống đến content chuyển đổi Description:kịch bản video chia sẻ bí quyết đạt doanh số 16 triệu đô trong 4 năm của linh từ bán hàng truyền thống đến content chuyển đổi
hãy tạo một kịch bản cho video chia sẻ về khó khăn của chuyên gia khi bán hàng online,chuyên gia - muốn giúp người nhưng khó tìm khách hàng?,kịch bản video chia sẻ về khó khăn của chuyên gia khi bán hàng online và giải pháp từ tài doanh,mở đầu\n- giới thiệu vấn đề: chuyên gia bỏ nhiều công sức chia sẻ kiến thức nhưng không tạo ra doanh thu.\n- nêu rõ nguyên nhân: thiếu kiến thức kỹ năng bán hàng online không chuyển đổi khách hàng.\nnội dung\n- chia sẻ kinh nghiệm bản thân: 10.000 follow trên facebook nhưng không tạo ra doanh thu.\n- nêu rõ sự thay đổi: sau khi học về kịch bản nội dung video tạo ra nhu cầu lượng tương tác tăng thu nhập cải thiện.\n- phân tích tâm lý: chuyên gia muốn giúp người nhưng cần quảng bá hiệu quả tiếp cận nhiều người.\n- giải pháp: tham gia chương trình của tài doanh để học kiến thức kỹ năng bán hàng online.\nkết thúc\n- nhấn mạnh giá trị của tài doanh: hỗ trợ chuyên gia bán hàng hiệu quả tìm kiếm khách hàng tăng doanh thu.\n- kêu gọi hành động: tham gia chương trình của tài doanh để thay đổi cuộc sống doanh thu của bản thân và giúp đỡ nhiều người.\nkết luận\n- khẳng định giá trị của việc học hỏi kiến thức kỹ năng bán hàng online giúp chuyên gia phát triển sự nghiệp.,Prompt: hãy tạo một kịch bản cho video chia sẻ về khó khăn của chuyên gia khi bán hàng online Title: chuyên gia - muốn giúp người nhưng khó tìm khách hàng? Description:kịch bản video chia sẻ về khó khăn của chuyên gia khi bán hàng online và giải pháp từ tài doanh
hãy tạo một kịch bản cho video chia sẻ về trải nghiệm học của hồng sau khi tham gia khóa học của tài,từ hoài nghi đến bùng nổ: chuyên gia hồng chia sẻ bí mật thành công từ khóa học của tài,kịch bản video chia sẻ về trải nghiệm của hồng một chuyên gia sau khi tham gia khóa học của tài giúp cô ấy tăng doanh thu và thay đổi cách bán hàng,mở đầu\n- giới thiệu bản thân: hồng đồng sáng lập công ty dexin chuyên về sản phẩm thiên nhiên.\n- nêu rõ vấn đề: doanh thu thấp 3 ngày mới có 1 đơn hàng không hiểu lý do.\nnội dung\n- lý do tham gia khóa học: tin tưởng lương ánh my biết tài là người giúp lương ánh my thay đổi.\n- phân tích điểm yếu: thiếu hệ thống thiếu kiến thức về tâm lý khách hàng cách truyền thông hiệu quả.\n- kết quả đạt được: tăng lượng message tỷ lệ chốt đơn doanh thu tăng gấp nhiều lần.\n- chia sẻ giá trị khóa học:,Prompt: hãy tạo một kịch bản cho video chia sẻ về trải nghiệm học của hồng sau khi tham gia khóa học của tài Title: từ hoài nghi đến bùng nổ: chuyên gia hồng chia sẻ bí mật thành công từ khóa học của tài Description:kịch bản video chia sẻ về trải nghiệm của hồng một chuyên gia sau khi tham gia khóa học của tài giúp cô ấy tăng doanh thu và thay đổi cách bán hàng
hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của một người học viên sau khi tham gia khóa học của tài,từ bế tắc đến bùng nổ: chuyên gia chia sẻ bí kíp thành công từ khóa học của tài,kịch bản video chia sẻ về trải nghiệm của một người học viên trước và sau khi tham gia khóa học của tài giúp họ tăng doanh thu và tự tin hơn trong kinh doanh,mở đầu\n- giới thiệu bản thân: chuyên gia trong lĩnh vực nào đó gặp khó khăn khi bán hàng online.\n- nêu rõ vấn đề: chạy quảng cáo facebook không hiệu quả doanh thu thấp thiếu niềm tin.\nnội dung\n- chia sẻ kinh nghiệm trước khi học: thử nhiều phương pháp chi phí cao hiệu quả thấp lo lắng về tương lai.\n- lý do tham gia khóa học: tò mò về khóa học tin tưởng tài doanh dựa trên kết quả của người khác (lương ánh my lê trí linh).\n- kết quả đạt được: tăng doanh thu gấp 7 lần chỉ sau 15 ngày tự tin hơn giải quyết vấn đề khách hàng từ chối.\n- chia sẻ giá trị khóa học:,Prompt: hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của một người học viên sau khi tham gia khóa học của tài Title: từ bế tắc đến bùng nổ: chuyên gia chia sẻ bí kíp thành công từ khóa học của tài Description:kịch bản video chia sẻ về trải nghiệm của một người học viên trước và sau khi tham gia khóa học của tài giúp họ tăng doanh thu và tự tin hơn trong kinh doanh
hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của mỹ liên sau khi tham gia khóa học của tài,từ giới hạn địa lý đến bùng nổ doanh thu: chuyên gia mỹ liên chia sẻ bí kíp thành công từ tài,kịch bản video chia sẻ về trải nghiệm của mỹ liên một chuyên gia yoga sau khi tham gia khóa học của tài giúp cô ấy mở rộng thị trường và tăng doanh thu,mở đầu\n- giới thiệu bản thân: mỹ liên nhà sáng lập và điều hành trung tâm mỹ liên yoga studio.\n- nêu rõ vấn đề: khách hàng biết đến nhưng giới hạn về địa lý không biết cách triển khai sản phẩm online.\nnội dung\n- chia sẻ kinh nghiệm trước khi học: chỉ phục vụ khách hàng trực tiếp tốn nhiều thời gian chi phí không biết cách đóng gói sản phẩm online.\n- kết quả đạt được: tăng doanh thu kiếm được hơn 100 triệu từ khách hàng online mở rộng thị trường.\n- chia sẻ giá trị khóa học:,Prompt: hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của mỹ liên sau khi tham gia khóa học của tài Title: từ giới hạn địa lý đến bùng nổ doanh thu: chuyên gia mỹ liên chia sẻ bí kíp thành công từ tài Description:kịch bản video chia sẻ về trải nghiệm của mỹ liên một chuyên gia yoga sau khi tham gia khóa học của tài giúp cô ấy mở rộng thị trường và tăng doanh thu
hãy tạo một kịch bản cho video chia sẻ về 5 bài học giúp my tăng doanh thu từ 278 triệu lên 1.951 triệu trong vòng 5 tháng,5 bí kíp vàng từ tài giúp my tăng doanh thu gấp 7 lần: từ 278 triệu lên 1.951 triệu,kịch bản video chia sẻ về 5 bài học kinh doanh từ tài giúp my tăng doanh thu gấp 7 lần trong 5 tháng cùng với những chia sẻ về lợi ích của việc tham gia khóa học,mở đầu\n- giới thiệu bản thân: my chuyên gia trong lĩnh vực nào đó chia sẻ về thành công trong kinh doanh.\n- nêu rõ kết quả: tăng doanh thu từ 278 triệu lên 1.951 triệu chỉ trong vòng 5 tháng.\n- khai thác sự tò mò: chia sẻ 5 bài học kinh doanh từ tài giúp my đạt được kết quả ấn tượng.\nnội dung\n- bài học 1: tạo trang bán hàng thay thế nhân viên giải quyết vấn đề khách hàng im lặng sau khi tư vấn.\n- bài học 2: tập trung vào sản phẩm giá trị cao loại bỏ sản phẩm kém hiệu quả dồn nguồn lực vào một mũi nhọn.\n- bài học 3: không ngừng cải thiện sản phẩm  thực hiện khảo sát khách hàng để nâng cao chất lượng.\n- bài học 4: xử lý lỗi hệ thống giải quyết vấn đề khách hàng dựa trên những câu hỏi và phản hồi của họ.\n- bài học 5: tạo video giá trị chia sẻ kiến thức xây dựng cộng đồng giảm phụ thuộc vào quảng cáo.\nkết thúc\n- nhấn mạnh sự thay đổi: từ những hạn chế đến thành công  tự tin và hạnh phúc hơn trong kinh doanh.\n- kêu gọi hành động: khuyến khích người xem tham gia khóa học của tài  để thay đổi bản thân và đạt được thành công.\nkết luận\n- khẳng định giá trị của khóa học giúp học viên tự tin tăng doanh thu  giúp họ đạt được mục tiêu.,Prompt: hãy tạo một kịch bản cho video chia sẻ về 5 bài học giúp my tăng doanh thu từ 278 triệu lên 1.951 triệu trong vòng 5 tháng Title: 5 bí kíp vàng từ tài giúp my tăng doanh thu gấp 7 lần: từ 278 triệu lên 1.951 triệu Description:kịch bản video chia sẻ về 5 bài học kinh doanh từ tài giúp my tăng doanh thu gấp 7 lần trong 5 tháng cùng với những chia sẻ về lợi ích của việc tham gia khóa học
hãy tạo một kịch bản cho video chia sẻ về 5 bài học giúp my tăng doanh thu từ 278 triệu lên 1.951 triệu trong vòng 5 tháng,5 bí kíp vàng từ tài giúp my tăng doanh thu gấp 7 lần: từ 278 triệu lên 1.951 triệu,kịch bản video chia sẻ về 5 bài học kinh doanh từ tài giúp my tăng doanh thu gấp 7 lần trong 5 tháng cùng với những chia sẻ về lợi ích của việc tham gia khóa học,mở đầu\n- giới thiệu bản thân: my chuyên gia trong lĩnh vực nào đó chia sẻ về thành công trong kinh doanh.\n- nêu rõ kết quả: tăng doanh thu từ 278 triệu lên 1.951 triệu chỉ trong vòng 5 tháng.\n- khai thác sự tò mò: chia sẻ 5 bài học kinh doanh từ tài giúp my đạt được kết quả ấn tượng.\nnội dung\n- bài học 1: tạo trang bán hàng thay thế nhân viên giải quyết vấn đề khách hàng im lặng sau khi tư vấn.\n- bài học 2: tập trung vào sản phẩm giá trị cao loại bỏ sản phẩm kém hiệu quả dồn nguồn lực vào một mũi nhọn.\n- bài học 3: không ngừng cải thiện sản phẩm  thực hiện khảo sát khách hàng để nâng cao chất lượng.\n- bài học 4: xử lý lỗi hệ thống giải quyết vấn đề khách hàng dựa trên những câu hỏi và phản hồi của họ.\n- bài học 5: tạo video giá trị chia sẻ kiến thức xây dựng cộng đồng giảm phụ thuộc vào quảng cáo.\nkết thúc\n- nhấn mạnh sự thay đổi: từ những hạn chế đến thành công  tự tin và hạnh phúc hơn trong kinh doanh.\n- kêu gọi hành động: khuyến khích người xem tham gia khóa học của tài  để thay đổi bản thân và đạt được thành công.\nkết luận\n- khẳng định giá trị của khóa học giúp học viên tự tin tăng doanh thu  giúp họ đạt được mục tiêu.,Prompt: hãy tạo một kịch bản cho video chia sẻ về 5 bài học giúp my tăng doanh thu từ 278 triệu lên 1.951 triệu trong vòng 5 tháng Title: 5 bí kíp vàng từ tài giúp my tăng doanh thu gấp 7 lần: từ 278 triệu lên 1.951 triệu Description:kịch bản video chia sẻ về 5 bài học kinh doanh từ tài giúp my tăng doanh thu gấp 7 lần trong 5 tháng cùng với những chia sẻ về lợi ích của việc tham gia khóa học
hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của một người học viên sau khi tham gia khóa học của tài,bí kíp chốt sale hiệu quả từ khóa học của tài: từ chối sang chuyển đổi,kịch bản video chia sẻ về trải nghiệm của một người học viên trước và sau khi tham gia khóa học của tài giúp họ nâng cao kỹ năng chốt sale và tăng doanh thu,mở đầu\n- giới thiệu bản thân:  chuyên gia doanh nghiệp hoặc người bán hàng.\n- nêu rõ vấn đề:  khó khăn trong việc xử lý khách hàng từ chối tỷ lệ chốt sale thấp.\nnội dung\n- chia sẻ kinh nghiệm trước khi học:  cách xử lý từ chối truyền thống cảm thấy bế tắc.\n- chia sẻ giá trị khóa học:,Prompt: hãy tạo một kịch bản cho video chia sẻ về trải nghiệm của một người học viên sau khi tham gia khóa học của tài Title: bí kíp chốt sale hiệu quả từ khóa học của tài: từ chối sang chuyển đổi Description:kịch bản video chia sẻ về trải nghiệm của một người học viên trước và sau khi tham gia khóa học của tài giúp họ nâng cao kỹ năng chốt sale và tăng doanh thu
